title,price,rating
DELSEY PARIS,6236,4.4
DELSEY PARIS,4899,4.1
DELSEY PARIS,5324,4.2
DELSEY PARIS,7090,4.1
Safari,4799,4.0
Safari,1499,4.0
M MEDLER,378,3.6
Kamiliant,1499,4.1
Victorinox,40278,4.3
